company_name,company_number,address_line_1,address_line_2,post_code,locality,country
360 LAB LTD,14869093,Flat 5 61a Kirgate House,,BD1 1PZ,Bradford,United Kingdom
AIRLINE RESERVATION LIMITED,14498022,85 Great Portland Street,,W1W 7LT,London,United Kingdom
AIRLINE ROTABLES (UK HOLDINGS) LIMITED,02637160,2 Minton  Place,Victoria Road,OX26 6QB,Bicester,United Kingdom
AIRLINE SERVICES AND COMPONENTS GROUP LIMITED,07652548,Squire Patton Boggs (Uk) Llp (Ref: Csu) Rutland House,148 Edmund Street,B3 2JR,Birmingham,United Kingdom
AIRLINE SERVICES COMPONENTS LIMITED,01503647,Squire Patton Boggs (Uk) Llp (Ref: Csu) Rutland House,148 Edmund Street,B3 2JR,Birmingham,United Kingdom
AIRLINE SERVICES HOLDINGS LIMITED,05211996,Squire Patton Boggs (Uk) Llp (Ref: Csu) Rultand House,148 Edmund Street,B3 2JR,Birmingham,United Kingdom
AIRLINE SERVICES LIMITED,01685094,Squire Patton Boggs (Uk) Llp (Ref: Csu) Rutland House,148 Edmund Street,B3 2JR,Birmingham,United Kingdom
AIRLINE SERVICES TECHNICS LIMITED,06721205,Squire Patton Boggs (Uk) Llp (Ref: Csu) Rutland House,148 Edmund Street,B3 2JR,Birmingham,United Kingdom
AIRLINE SUPPORT LIMITED,15070430,86-90 Paul Street,,EC2A 4NE,London,United Kingdom
AIRLINE TARIFF PUBLISHING COMPANY,FC014373,2340 Dulles Corner Blvd Suite 800,,,Herndon,United States
AIRLINE TICKET LIMITED,14523602,85 Great Portland Street,First Floor,W1W 7LT,London,United Kingdom
AIRLINE TICKETS SERVICE LTD,14922726,47 Warrington Avenue,,SL1 3BG,Slough,United Kingdom
AIRLINE TRAINING ACADEMY UK LTD,07558429,Suite 1 19 Aviation Way,Southend Airport,SS2 6UN,Southend On Sea,United Kingdom
AIRLINE TRAINING ASSOCIATES LIMITED,01803135,1st Floor Arthur Stanley House,40-50 Tottenham Street,W1T 4RN,London,United Kingdom
AIRLINE TRAVEL HUB LIMITED,08274114,Westminster House,10 Westminster Road,SK10 1BX,Macclesfield,United Kingdom
AIRLINE TRAVELS LIMITED,08403564,128a High Street,,B70 6JW,West Bromwich,United Kingdom
AIRLINE VENTURES LIMITED,11044404,2 Woodcote,Chestfield,CT5 3QB,Whitstable,United Kingdom
AIRLINEN LTD,10141677,"Videk House, Building 2",Kingsbury Road,NW9 8RW,London,United Kingdom
AIRLINEPREP LIMITED,10399598,95 Ditchling Road,,BN1 4ST,Brighton,United Kingdom
AIRLINEPROS NORTHERN EUROPE LTD,12079551,37 Prince George Avenue,,N14 4TL,London,United Kingdom
AIRLINER FOR RENT LTD,11157621,27 Old Gloucester Street,,WC1N 3AX,London,United Kingdom
AIRLINER1 EUROPE LIMITED,SC464056,19 Colquhoun Avenue,Hillington Park,G52 4BN,Glasgow,United Kingdom
AIRLINERS LIVE LTD,14062002,City Heliport Old University Building,Liverpool Road,M30 7RU,Eccles,United Kingdom
AIRLINES 4 DIALOGUE LIMITED,05882574,The Old Town Hall Market Place,Oundle,PE8 4BA,Peterborough,United Kingdom
AIRLINES BAGAGE LTD,15139570,29 Sutton Square,,TW5 0JB,Hounslow,United Kingdom
AIRLINES GLOBAL SOLUTIONS LIMITED,12776613,Unit 8 The Courtyard Gaulby Lane,Stoughton,LE2 2FL,Leicestershire,United Kingdom
AIRLINES MARKET LIMITED,10899619,11 Thomas George Way,,B19 2NE,Birmingham,United Kingdom
AIRLINES PAYMENT SYSTEM LTD,15434683,332 Cable Street,,E1 0AE,London,United Kingdom
AIRLINES RESERVATIONS LTD,14869092,14869092 - COMPANIES HOUSE DEFAULT ADDRESS,,CF14 8LH,Cardiff,United Kingdom
AIRLINES SOFTWARE SOLUTIONS LTD,15246457,60 Wykebeck Road,,LS9 0JA,Leeds,United Kingdom
AIRLINES UK - THE ASSOCIATION OF UK AIRLINES LIMITED,04466066,25 Southampton Buildings,,WC2A 1AL,London,United Kingdom
AIRLINESOLUTIONS LTD,11044170,35 Brockenhurst Way,,SW16 4UB,London,United Kingdom
AIRLINGUA INTERNATIONAL LTD,09084985,258b High Street,,RH4 1QT,Dorking,United Kingdom
AIRLINK 4 U LIMITED,05057638,121 Soho Hill,Hockley,B19 1AX,Birmingham,United Kingdom
AIRLINK COMMUNICATION LIMITED,15218950,39 Northfield Road,Harborne,B17 0ST,Birmingham,United Kingdom
AIRLINK GLOBAL TRAVEL LIMITED,15733939,3 Greenfinch Mews,,GU51 5DN,Fleet,United Kingdom
AIRLINK HOLIDAYS LIMITED,06590854,176 Lavender Avenue,,CV6 1DL,Coventry,United Kingdom
AIRLINK HOTEL & BANQUETING SUITE LTD,08632949,18-22 Pump Lane,,UB3 3NB,Hayes,United Kingdom
AIRLINK MANAGEMENT LIMITED,14186934,Leigh House 28-32 St Paul's Street,St Paul'S Street,LS1 2JT,Leeds,United Kingdom
AIRLINK MK LTD,15558860,29 Favell Drive,Furzton,MK4 1AL,Milton Keynes,United Kingdom
AIRLINK PROJECTS BG LTD,15142863,22 Oakdale Drive,Penwortham,PR1 9AZ,Preston,United Kingdom
AIRLINK TAXIS LIMITED,13010706,262 Catherine Street,,LE4 6GD,Leicester,United Kingdom
AIRLINK TECHNOLOGY SERVICES LTD,14840518,1a Sutherland Street,,SW1V 4LD,London,United Kingdom
AIRLINK TRANSFER LTD,14971001,Apartment 3 Celandine Court,15 Underwood Rise,TN2 5RY,Tunbridge Wells,United Kingdom
AIRLINK TRANSPORT LTD,15001411,450 Bath Road,Longford,UB7 0EB,Heathrow,United Kingdom
AIRLINK TRAVEL (EDI) LIMITED,SC599411,13 Albert Place Albert Place,Albert Place,EH7 5HN,Edinburgh,United Kingdom
AIRLINKS PRIVATE LTD,15247595,299 Sheppey Road,,RM9 4JU,Dagenham,United Kingdom
AIRLINKS THE AIRPORT COACH COMPANY LIMITED,02036613,"National Express House Birmingham Coach Station, Mill Lane",Digbeth,B5 6DD,Birmingham,United Kingdom
AIRLITE CONSULTING LTD,14881804,2nd Floor College House,"17 King Edwards Road,",HA4 7AE,"Ruislip,",United Kingdom
AIRLITE FINANCE LIMITED,00636494,93 Regent Street,Cambridge,CB2 1AW,,United Kingdom
AIRLITE PROPERTY SOLUTIONS LTD,14390696,16 The Furlong,Oakley,MK43 7RD,Bedford,United Kingdom
AIRLIVE LIMITED,10000510,"1st Floor, 104 Oxford Street",Oxford Street,W1D 1LP,London,United Kingdom
AIRLOAD ENGINEERING LIMITED,01542124,Unit 8,Pembroke Dock Industrial Estate,SA72 4RS,Pembroke Dock,United Kingdom
AIRLOAD WASTE MANAGEMENT LTD,10775574,Airload Buildings,Orgreave Lane,S13 9NG,Sheffield,United Kingdom
AIRLOCAL LTD,11726558,The Coach House North Building,1 Howard Road,RH2 7JE,Reigate,United Kingdom
AIRLOCATE LTD,14791229,5 Ashbourne Grove,,LA3 3NH,Morecambe,United Kingdom
AIRLOCK AVIATION LIMITED,05473267,David Gamblin Chartered Accounta,71 The Hundred,SO51 8BZ,Romsey,United Kingdom
AIRLOCK THEATRE LIMITED,14427605,Flat B,14 Charteris Road,NW6 7ET,London,United Kingdom
AIRLOCK UK LIMITED,14970896,8 Colenso Road,Ashton-On-Ribble,PR2 2LL,Preston,United Kingdom
AIRLOCUM LIMITED,11591611,1 Market Street,,TQ6 9QE,Dartmouth,United Kingdom
AIRLOFTY LTD,14916775,"Office 222 Paddington House, New Road","Stockwood Business Park, Stockwood",DY10 1AL,Kidderminster,United Kingdom
AIRLOG SOLUTIONS LIMITED,11170758,293 Green Lanes,Palmers Green,N13 4XS,London,United Kingdom
AIRLOK LIMITED,09546280,Insolvency Direct Ltd Saxon Way,Saxon House,GL52 6QX,Cheltenham,United Kingdom
AIRLOOP & SON LTD,14816025,38a Thornton Road,,DA17 6DD,Belvedere,United Kingdom
AIRLOOP LTD,12038589,9 St. Andrews Avenue,,RM12 5DS,Hornchurch,United Kingdom
AIRLOUNGE CONSULTING LIMITED,11935621,"2nd Floor Connaught House, 1-3 Mount Street",(Entrance Via Davies Street),W1K 3NB,London,United Kingdom
AIRLUME VENTURES LP,SL030787,24 Station Square,Suite 16,IV1 1LD,Inverness,United Kingdom
AIRLUN LTD,15491727,128 City Road,,EC1V 2NX,London,United Kingdom
AIRLUXE HOSPITALITY LTD,14973310,4 Grove Road,Carlton,NG7 1HJ,Nottingham,United Kingdom
AIRLUXE LTD,05899691,5 Burley Court,Pillmere Drive,PL12 6FH,Saltash,United Kingdom
AIRLUXE MANAGEMENT LTD,15182448,"Flat 2, Union Court",Union Terrace,YO31 7EU,York,United Kingdom
AIRLUXJETS LTD,14970234,128 City Road,,EC1V 2NX,London,United Kingdom
AIRLY AIR QUALITY SERVICES LTD,13653711,3rd Floor 86-90 Paul Street,East Midlands Airport,EC2A 4NE,London,United Kingdom
AIRLY INC.,FC039704,3500 S Dupont Highway Dover,County Of Kent,,Delaware,United Kingdom
AIRLY LIMITED,13463723,C/O Prydis Legal Senate Court,Southernhay Gardens,EX1 1NT,Exeter,United Kingdom
AIRLYNX CRUISE PARKING LIMITED,15609240,C/O Hjs Chartered Accountants 6 Charlecote Mews,Staple Gardens,SO23 8SR,Winchester,United Kingdom
AIRLYNX PARKING LIMITED,08458344,C/O Hjs Chartered Accountants 6 Charlecote Mews,Staple Gardens,SO23 8SR,Winchester,United Kingdom
AIRMA LIMITED,12269548,Arrowpoint Brickyard Road,Aldridge,WS9 8BW,Walsall,United Kingdom
AIRMAC GDI LIMITED,SC380200,The Mechanics Workshop,New Lanark,ML11 9DB,Lanark,United Kingdom
AIRMAC UK LTD,09049162,2 Valmont Road,,NG5 1GA,Nottingham,United Kingdom
